movieId,title,genres,rate
1,Toy Story ,Animation|Children's|Comedy,4.1
2,Jumanji ,Adventure|Children's|Fantasy,3.2
3,Grumpier Old Men ,Comedy|Romance,3.0
4,Waiting to Exhale ,Comedy|Drama,2.7
5,Father of the Bride Part II ,Comedy,3.0
6,Heat ,Action|Crime|Thriller,3.9
7,Sabrina ,Comedy|Romance,3.4
8,Tom and Huck ,Adventure|Children's,3.0
9,Sudden Death ,Action,2.7
10,GoldenEye ,Action|Adventure|Thriller,3.5
13,Balto ,Animation|Children's,3.3
14,Nixon ,Drama,3.5
15,Cutthroat Island ,Action|Adventure|Romance,2.5
16,Casino ,Drama|Thriller,3.8
17,Sense and Sensibility ,Drama|Romance,4.0
18,Four Rooms ,Thriller,3.3
20,Money Train ,Action,2.5
21,Get Shorty ,Action|Comedy|Drama,3.6
22,Copycat ,Crime|Drama|Thriller,3.3
23,Assassins ,Thriller,2.9
24,Powder ,Drama|Sci-Fi,3.2
25,Leaving Las Vegas ,Drama|Romance,3.7
26,Othello ,Drama,3.5
27,Now and Then ,Drama,2.9
28,Persuasion ,Romance,4.1
30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,Drama,3.6
31,Dangerous Minds ,Drama,3.1
32,Twelve Monkeys ,Drama|Sci-Fi,3.9
33,Wings of Courage ,Adventure|Romance,3.0
34,Babe ,Children's|Comedy|Drama,3.9
35,Carrington ,Drama|Romance,3.3
36,Dead Man Walking ,Drama,4.0
37,Across the Sea of Time ,Documentary,3.5
38,It Takes Two ,Comedy,2.8
39,Clueless ,Comedy|Romance,3.6
41,Richard III ,Drama|War,4.0
42,Dead Presidents ,Action|Crime|Drama,2.9
43,Restoration ,Drama,3.4
44,Mortal Kombat ,Action|Adventure,2.8
45,To Die For ,Comedy|Drama,3.4
46,How to Make an American Quilt ,Drama|Romance,3.1
47,Seven (Se7en) ,Crime|Thriller,4.1
48,Pocahontas ,Animation|Children's|Musical|Romance,3.0
49,When Night Is Falling ,Drama|Romance,3.7
51,Guardian Angel ,Action|Drama|Thriller,0.0
52,Mighty Aphrodite ,Comedy,3.6
53,Lamerica ,Drama,4.8
55,Georgia ,Drama,3.1
56,Kids of the Round Table ,Adventure|Children's|Fantasy,2.0
57,Home for the Holidays ,Drama,3.4
61,Eye for an Eye ,Drama|Thriller,3.0
62,Mr. Holland's Opus ,Drama,3.7
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Comedy,2.9
64,Two if by Sea ,Comedy|Romance,2.3
65,Bio-Dome ,Comedy,2.1
67,Two Bits ,Drama,3.2
68,French Twist (Gazon maudit) ,Comedy|Romance,3.5
69,Friday ,Comedy,3.7
70,From Dusk Till Dawn ,Action|Comedy|Crime|Horror|Thriller,3.2
71,Fair Game ,Action,2.1
72,Kicking and Screaming ,Comedy|Drama,3.6
74,Bed of Roses ,Drama|Romance,3.0
75,Big Bully ,Comedy|Drama,1.9
76,Screamers ,Sci-Fi|Thriller,2.9
77,Nico Icon ,Documentary,3.8
81,Things to Do in Denver when You're Dead ,Crime|Drama|Romance,3.2
82,Antonia's Line (Antonia) ,Drama,3.9
83,Once Upon a Time... When We Were Colored ,Drama,3.7
84,Last Summer in the Hamptons ,Comedy|Drama,3.1
85,Angels and Insects ,Drama|Romance,3.4
86,White Squall ,Adventure|Drama,3.4
87,Dunston Checks In ,Children's|Comedy,2.2
88,Black Sheep ,Comedy,2.9
89,Nick of Time ,Action|Thriller,3.1
92,Mary Reilly ,Drama|Thriller,2.3
93,Vampire in Brooklyn ,Comedy|Romance,2.2
94,Beautiful Girls ,Drama,3.7
95,Broken Arrow ,Action|Thriller,2.9
96,In the Bleak Midwinter ,Comedy,3.9
98,Shopping ,Action|Thriller,2.0
100,City Hall ,Drama|Thriller,3.1
101,Bottle Rocket ,Comedy,3.9
102,Mr. Wrong ,Comedy,1.8
103,Unforgettable ,Thriller,3.2
104,Happy Gilmore ,Comedy,3.5
106,Nobody Loves Me (Keiner liebt mich) ,Comedy|Drama,3.6
107,Muppet Treasure Island ,Adventure|Children's|Comedy|Musical,3.1
108,Catwalk ,Documentary,2.9
109,Headless Body in Topless Bar ,Comedy,0.0
110,Braveheart ,Action|Drama|War,4.2
111,Taxi Driver ,Drama|Thriller,4.2
112,Rumble in the Bronx ,Action|Adventure|Crime,3.4
113,Before and After ,Drama|Mystery,3.0
114,Margaret's Museum ,Drama,3.1
115,Happiness Is in the Field ,Comedy,0.0
116,Anne Frank Remembered ,Documentary,4.1
118,If Lucy Fell ,Comedy|Romance,3.1
120,Race the Sun ,Drama,2.7
122,Boomerang ,Comedy|Romance,2.8
123,Chungking Express ,Drama|Mystery|Romance,3.9
125,Flirting With Disaster ,Comedy,3.8
128,Jupiter's Wife ,Documentary,4.3
129,Pie in the Sky ,Comedy|Romance,3.3
130,Angela ,Drama,4.0
131,Frankie Starlight ,Drama|Romance,3.1
132,Jade ,Thriller,2.5
133,Nueba Yol ,Comedy|Drama,1.0
134,Sonic Outlaws ,Documentary,4.0
135,Down Periscope ,Comedy,2.8
136,From the Journals of Jean Seberg ,Documentary,3.2
137,Man of the Year ,Documentary,3.0
139,Target ,Action|Drama,4.0
140,Up Close and Personal ,Drama|Romance,3.2
142,Shadows (Cienie) ,Drama,1.0
143,Gospa ,Drama,0.0
145,Bad Boys ,Action,3.3
149,Amateur ,Crime|Drama|Thriller,3.8
150,Apollo 13 ,Drama,4.1
151,Rob Roy ,Drama|Romance|War,3.6
153,Batman Forever ,Action|Adventure|Comedy|Crime,2.6
154,Belle de jour ,Drama,3.7
155,Beyond Rangoon ,Drama|War,3.4
156,Blue in the Face ,Comedy,3.6
157,Canadian Bacon ,Comedy|War,2.7
158,Casper ,Adventure|Children's,3.0
159,Clockers ,Drama,3.3
160,Congo ,Action|Adventure|Mystery|Sci-Fi,2.2
161,Crimson Tide ,Drama|Thriller|War,3.7
162,Crumb ,Documentary,4.1
163,Desperado ,Action|Romance|Thriller,3.5
164,Devil in a Blue Dress ,Crime|Film-Noir|Mystery|Thriller,3.6
167,Feast of July ,Drama,3.6
168,First Knight ,Action|Adventure|Drama|Romance,3.0
169,Free Willy 2, Adventure,2.0
170,Hackers ,Action|Crime|Thriller,3.1
171,Jeffrey ,Comedy,3.6
172,Johnny Mnemonic ,Action|Sci-Fi|Thriller,2.6
173,Judge Dredd ,Action|Adventure|Sci-Fi,2.3
174,Jury Duty ,Comedy,2.3
175,Kids ,Drama,3.5
176,Living in Oblivion ,Comedy,3.9
177,Lord of Illusions ,Horror,2.7
178,Love & Human Remains ,Comedy,3.5
179,Mad Love ,Drama|Romance,2.2
180,Mallrats ,Comedy,3.5
182,Moonlight and Valentino ,Drama|Romance,3.1
183,Mute Witness ,Thriller,3.5
184,Nadja ,Drama,3.3
186,Nine Months ,Comedy,2.8
187,Party Girl ,Comedy,3.2
189,Reckless ,Comedy,3.4
190,Safe ,Thriller,3.8
193,Showgirls ,Drama,2.1
194,Smoke ,Drama,3.8
195,Something to Talk About ,Comedy|Drama|Romance,2.8
196,Species ,Horror|Sci-Fi,2.8
198,Strange Days ,Action|Crime|Sci-Fi,3.3
201,Three Wishes ,Drama,2.6
202,Total Eclipse ,Drama|Romance,2.5
205,Unstrung Heroes ,Comedy|Drama,3.6
206,Unzipped ,Documentary,3.7
208,Waterworld ,Action|Adventure,2.6
209,White Man's Burden ,Drama,2.5
210,Wild Bill ,Adventure|Action,3.1
212,Bushwhacked ,Comedy,1.9
213,Burnt By the Sun (Utomlyonnye solntsem) ,Drama,4.1
214,Before the Rain (Pred dozhdot) ,Drama,4.2
215,Before Sunrise ,Drama|Romance,3.8
216,Billy Madison ,Comedy,3.2
218,Boys on the Side ,Comedy|Drama,3.1
220,Castle Freak ,Horror,1.8
222,Circle of Friends ,Drama|Romance,3.5
223,Clerks ,Comedy,3.9
224,Don Juan DeMarco ,Comedy|Drama|Romance,3.4
225,Disclosure ,Drama|Thriller,3.2
226,Dream Man ,Thriller,2.0
227,Drop Zone ,Action,2.7
228,Destiny Turns on the Radio ,Comedy,2.2
229,Death and the Maiden ,Drama|Thriller,3.5
230,Dolores Claiborne ,Drama|Thriller,3.5
231,Dumb & Dumber ,Comedy,3.2
232,Eat Drink Man Woman ,Comedy|Drama,4.1
233,Exotica ,Drama,3.6
234,Exit to Eden ,Comedy,2.2
235,Ed Wood ,Comedy|Drama,3.7
236,French Kiss ,Comedy|Romance,3.3
